Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
8016,矽創 ,半導體業類,1631935,1631935,10.8856391941989,56.3959082440793,56.3959082440793,0.111999996,86.814,3.5478148,14.88,42.89,20.698925,7.1811614
8021,尖點 ,其他電子業類,239125,239125,-7.26521083227655,7.89622109419064,7.89622109419064,-0.0033000002,31.027,0.9217778,-0.25,1.69,,16.923077
8028,昇陽半導體 ,半導體業類,245954,245954,2.51115955136728,-5.54834448276127,-5.54834448276127,0.093760006,22.797,2.3336403,2,2.07,26.6,25.700485
8033,雷虎 ,其他類,118709,118709,35.9066242300735,39.0263040779519,39.0263040779519,-0.00529,8.594,6.1554575,-0.05,,,
8039,台虹 ,電子零組件業類,680665,680665,1.24062208102046,66.011804590132,66.011804590132,0.0519,38.195,1.1951827,1.73,2.85,26.387283,16.017546
8046,南電 ,電子零組件業類,2561593,2561593,-4.29650679053558,-37.6088152632793,-37.6088152632793,0.13766,74.142,2.8189151,9.01,17.25,23.196447,12.115942
8070,長華* ,電子通路業類,1471846,1471846,8.23431651554928,4.68619306381405,4.68619306381405,0.098170005,19.287,1.9754237,2.32,13.61,16.422413,2.7994123
8072,陞泰 ,電子通路業類,86212,86212,16.9087235398614,29.015458749233,29.015458749233,0.05673,28.03,1.0720656,0.79,,38.03797,
8081,致新 ,半導體業類,665433,665433,23.4975121700447,18.8481198495451,18.8481198495451,0.17255,79.838,3.26912,15.67,17.94,16.65603,14.548494
8101,華冠 ,通信網路業類,11079,11079,3.34888059701493,-49.9932295192959,-49.9932295192959,-1.01449,1.717,2.4053583,-3.2,0.94,,4.393617
8103,瀚荃 ,電子零組件業類,289667,289667,20.1175187536543,36.2055588731785,36.2055588731785,0.0699,36.929,1.2402177,2.4,3.37,19.083332,13.590505
8104,錸寶 ,光電業類,198901,198901,-27.1384874626811,-9.09959234411275,-9.09959234411275,-0.06264,25.799,1.2733052,-2.33,0.81,,40.555553
8105,凌巨 ,光電業類,718466,718466,5.45593318606477,-15.4789634418924,-15.4789634418924,0.02891,18.008,0.80242115,0.62,0.57,23.306452,25.350878
8110,華東 ,半導體業類,647095,647095,-9.70028244172547,14.592556650351,14.592556650351,-0.0053899996,19.965,0.83646387,-0.08,,,
8112,至上 ,電子通路業類,14718484,14718484,-8.37700347126318,118.072614399905,118.072614399905,0.01116,32.648,1.9603039,3.16,5.17,20.253164,12.37911
8114,振樺電 ,電腦及週邊設備業類,673747,673747,-15.5754179583633,-3.15580521545144,-3.15580521545144,0.044260003,49.398,2.6316855,5.67,8.8,22.927689,14.772727
8131,福懋科 ,半導體業類,802512,802512,19.7402012202127,7.94300694456587,7.94300694456587,0.06932,26.7,1.3483145,1.2,,29.999998,
8150,南茂 ,半導體業類,1708475,1708475,-9.19665098955042,28.4414118913604,28.4414118913604,0.08866,34.175,1.3196781,2.58,4.96,17.48062,9.092742
8163,達方 ,電腦及週邊設備業類,1837184,1837184,-2.19379128531212,-2.83490569530343,-2.83490569530343,0.0654,44.156,1.2659662,6.07,3.9,9.209226,14.333333
8201,無敵 ,其他電子業類,48232,48232,24.6755932378638,-39.2429300245638,-39.2429300245638,-0.15329,8.843,2.114667,-1.35,,,
8210,勤誠 ,電腦及週邊設備業類,1112849,1112849,-38.5441321839398,163.686424111744,163.686424111744,0.07455,42.092,6.2957335,5.63,14.94,47.06927,17.737617
8213,志超 ,電子零組件業類,1564363,1564363,20.2596667796722,7.82887585531399,7.82887585531399,0.05609,54.386,0.77409625,3.89,4.22,10.822621,9.976303
8215,明基材 ,光電業類,1568570,1568570,27.937079135564,25.5407374919064,25.5407374919064,0.02419,18.075,1.9031812,1.28,2.97,26.875002,11.582492
8222,寶一 ,電機機械類,59608,59608,-6.60273886747517,31.9549288291679,31.9549288291679,0.10233,11.715,3.9095175,0.81,0.86,56.54321,53.255814
8249,菱光 ,電子零組件業類,251817,251817,34.588804976991,26.2335513948417,26.2335513948417,0.07007,38.23,0.81611305,2.25,,13.866667,
8261,富鼎 ,半導體業類,234876,234876,9.58512961200381,19.9846747209522,19.9846747209522,0.120749995,44.318,1.9698542,2.77,,31.516247,
8271,宇瞻 ,半導體業類,693928,693928,25.3688738575163,25.264318890339,25.264318890339,0.06758,33.943,2.194856,4.46,,16.704035,
8341,日友 ,綠能環保類,259824,259824,-13.5009887541698,-9.51060836131117,-9.51060836131117,0.14083,38.13,2.6750588,3.37,4.5,30.267063,22.666666
8367,建新國際 ,航運業類,224674,224674,-17.2364761571473,38.7844607658428,38.7844607658428,0.14253001,33.088,1.3252537,3.27,2.35,13.409785,18.659575
8374,羅昇 ,電機機械類,260867,260867,21.6980163839594,6.66702104169904,6.66702104169904,-0.0056800004,17.709,1.6573495,-0.19,,,
8404,百和興業-KY ,,,,,,,-0.10189,15.225,1.2775041,-1.61,1.54,,12.629871
8411,福貞-KY ,,,,,,,0.008640001,26.632,0.5482127,0.46,0.56,31.73913,26.071428
8422,可寧衛 ,綠能環保類,401539,401539,17.0978306197854,-13.4326910224514,-13.4326910224514,0.24802999,55.277,3.2472818,9.74,11.15,18.42916,16.098656
8429,金麗-KY ,,,,,,,-0.06003,33.577,0.31122494,-0.05,2.04,,5.122549
8438,昶昕 ,綠能環保類,229383,229383,-11.4785414101965,-10.2500195633461,-10.2500195633461,0.02103,24.196,1.1138206,1.27,,21.220474,
8442,威宏-KY ,,,,,,,0.07853,44.259,2.7452044,10.03,9.16,12.113659,13.264193
8443,阿瘦 ,貿易百貨類,98334,98334,-1.93763275726238,-22.4226072138597,-22.4226072138597,-0.10276,12.291,0.9600521,-1.86,,,
8454,富邦媒 ,數位雲端類,9665444,9665444,-0.701244059171327,10.4325328780195,10.4325328780195,0.033210002,41.997,10.20311,15.12,18.23,28.339947,23.50521
8462,柏文 ,運動休閒類,387722,387722,1.7338644080249,35.2215142415714,35.2215142415714,0.014479999,21.346,5.106343,0.8,5.3,136.25,20.566036
8463,潤泰材 ,其他類,572905,572905,-3.54095390749172,83.4910721434863,83.4910721434863,0.023139998,14.7,1.7312926,0.79,,32.21519,
8464,億豐 ,居家生活類,2308294,2308294,-2.85354512042227,24.6996488001889,24.6996488001889,0.20903999,78.523,4.743833,18.87,20.54,19.740328,18.135345
8466,美吉吉-KY ,,,,,,,-0.0253,39.097,1.2072538,-0.98,5.47,,8.628885
8467,波力-KY ,,,,,,,0.15515,38.051,4.809335,5.79,,31.606218,
8473,山林水 ,綠能環保類,308441,308441,-1.1825125267515,14.536049551423,14.536049551423,-0.024349999,37.07,1.1087133,-0.66,3.77,,10.901856
8476,台境 ,綠能環保類,96829,96829,-20.4435096252598,25.2525644508259,25.2525644508259,0.33004,,,,,,
8478,東哥遊艇 ,運動休閒類,608986,608986,-2.46251767807406,48.795922555928,48.795922555928,0.32026002,63.963,6.58193,23.63,28.35,17.816336,14.850088
8481,政伸 ,其他類,91846,91846,15.1659540319244,20.5312266243225,20.5312266243225,0.12944001,24.111,2.1442494,2.07,3.36,24.975847,15.386906
8482,商億-KY ,,,,,,,0.11271,31.972,2.0924559,4.17,,16.043165,
8488,吉源-KY ,,,,,,,-0.017719999,36.442,0.4417979,-1.01,,,
8499,鼎炫-KY ,,,,,,,0.30665,185.954,0.6668316,14.85,9.45,8.350168,13.121694
8926,台汽電 ,油電燃氣類,564089,564089,3.53904494794496,54.5275736150186,54.5275736150186,0.277,20.922,2.2225409,2.47,1.69,18.82591,27.514791
8940,新天地 ,觀光餐旅類,276511,276511,37.0705253087062,41.0619270384296,41.0619270384296,0.06905,10.453,2.74084,1.58,,18.13291,
